nombre,descripcion,orden,modulo_id,abreviatura_id
RA1,"Caracteriza la estructura y organización de las administraciones públicas establecidas en la Constitución española y la UE, reconociendo los organismos, instituciones y personas que las integran.",1,GDJE_AFIN_AND,GDJE_AFIN_AND_1
RA2,"Actualiza periódicamente la información jurídica requerida por la actividad empresarial, seleccionando la legislación y jurisprudencia relacionada con la organización.",2,GDJE_AFIN_AND,GDJE_AFIN_AND_2
RA3,"Organiza los documentos jurídicos relativos a la constitución y funcionamiento de las entidades, cumpliendo la normativa civil y mercantil vigente según las directrices definidas.",3,GDJE_AFIN_AND,GDJE_AFIN_AND_3
RA4,"Cumplimenta los modelos de contratación privados más habituales en el ámbito empresarial o documentos de fe pública, aplicando la normativa vigente y los medios informáticos disponibles para su presentación y firma.",4,GDJE_AFIN_AND,GDJE_AFIN_AND_4
RA5,"Elabora la documentación requerida por los organismos públicos relativos a los distintos procedimientos administrativos, cumpliendo con la legislación vigente y las directrices definidas.",5,GDJE_AFIN_AND,GDJE_AFIN_AND_5
RA1,"Caracteriza la empresa como una comunidad de personas, distinguiendo las implicaciones éticas de su comportamiento con respecto a los implicados en la misma.",1,RRH_AFIN_AND,RRH_AFIN_AND_1
RA2,"Contrasta la aplicación de los principios de responsabilidad social corporativa en las políticas de desarrollo de los recursos humanos de las empresas, valorando su adecuación a las buenas prácticas validadas internacionalmente.",2,RRH_AFIN_AND,RRH_AFIN_AND_2
RA3,"Coordina los flujos de información del departamento de recursos humanos a través de la organización, aplicando habilidades personales y sociales en procesos de gestión de recursos humanos.",3,RRH_AFIN_AND,RRH_AFIN_AND_3
RA4,"Aplica los procedimientos administrativos relativos a la selección de recursos humanos, eligiendo los métodos e instrumentos más adecuados a la política de cada organización.",4,RRH_AFIN_AND,RRH_AFIN_AND_4
RA5,"Gestiona los procedimientos administrativos relativos a la formación, promoción y desarrollo de recursos humanos, designando los métodos e instrumentos más adecuados.",5,RRH_AFIN_AND,RRH_AFIN_AND_5
RA1,"Mantiene en condiciones óptimas de funcionamiento los equipos, aplicaciones y red, instalando y actualizando los componentes hardware y software necesarios.",1,OPI_AFIN_AND,OPI_AFIN_AND_1
RA2,"Escribe textos alfanuméricos en un teclado extendido, aplicando las técnicas mecanográficas.",2,OPI_AFIN_AND,OPI_AFIN_AND_2
RA3,"Gestiona los sistemas de archivos, buscando y seleccionando con medios convencionales e informáticos la información necesaria.",3,OPI_AFIN_AND,OPI_AFIN_AND_3
RA4,"Elabora hojas de cálculo adaptadas a las necesidades que se planteen en el tratamiento de la información, aplicando las opciones avanzadas.",4,OPI_AFIN_AND,OPI_AFIN_AND_4
RA5,"Elabora documentos de textos, utilizando las opciones avanzadas de un procesador de textos.",5,OPI_AFIN_AND,OPI_AFIN_AND_5
RA6,"Utiliza sistemas de gestión de bases de datos adaptadas a las necesidades que se planteen en el tratamiento de la información administrativa, aplicando las opciones avanzadas.",6,OPI_AFIN_AND,OPI_AFIN_AND_6
RA7,"Gestiona integradamente la información proveniente de diferentes aplicaciones así como archivos audiovisuales, utilizando programas y periféricos específicos.",7,OPI_AFIN_AND,OPI_AFIN_AND_7
RA8,"Gestiona el correo y la agenda electrónica, utilizando aplicaciones específicas.",8,OPI_AFIN_AND,OPI_AFIN_AND_8
RA9,"Elabora presentaciones multimedia de documentos e informes, utilizando aplicaciones específicas.",9,OPI_AFIN_AND,OPI_AFIN_AND_9
RA1,"Determina los elementos patrimoniales de la empresa, analizando la actividad empresarial.",1,PIAC_AFIN_AND,PIAC_AFIN_AND_1
RA2,"Integra la normativa contable y el método de la partida doble, analizando el PGC PYME y la metodología contable.",2,PIAC_AFIN_AND,PIAC_AFIN_AND_2
RA3,"Gestiona la información sobre tributos que afectan o gravan la actividad comercial de la empresa, seleccionando y aplicando la normativa mercantil y fiscal vigente.",3,PIAC_AFIN_AND,PIAC_AFIN_AND_3
RA4,"Elabora y organiza la documentación administrativa de las operaciones de compraventa, relacionándola con las transacciones comerciales de la empresa.",4,PIAC_AFIN_AND,PIAC_AFIN_AND_4
RA5,"Determina los trámites de la gestión de cobros y pagos, analizando la documentación asociada y su flujo dentro de la empresa.",5,PIAC_AFIN_AND,PIAC_AFIN_AND_5
