nombre,descripcion,orden,ra_sistema_id,abreviatura_id
a),Se han identificado los poderes públicos establecidos en la Constitución española y sus respectivas funciones.,1,GDJE_AFIN_AND_1,GDJE_AFIN_AND_1_1
b),Se han determinado los órganos de gobierno de cada uno de los poderes públicos así como sus funciones.,2,GDJE_AFIN_AND_1,GDJE_AFIN_AND_1_2
c),Se han identificado los principales órganos de gobierno del poder ejecutivo de las administraciones autonómicas y locales así como sus funciones.,3,GDJE_AFIN_AND_1,GDJE_AFIN_AND_1_3
d),Se han definido la estructura y funciones básicas de las principales instituciones de la Unión Europea.,4,GDJE_AFIN_AND_1,GDJE_AFIN_AND_1_4
e),Se han descrito las funciones o competencias de los órganos y la normativa aplicable a los mismos.,5,GDJE_AFIN_AND_1,GDJE_AFIN_AND_1_5
f),"Se han descrito las relaciones entre los diferentes órganos de la Unión Europea y el resto de las Administraciones nacionales, así como la incidencia de la normativa europea en la nacional.",6,GDJE_AFIN_AND_1,GDJE_AFIN_AND_1_6
a),Se han reconocido las fuentes del Derecho de acuerdo con el ordenamiento jurídico.,1,GDJE_AFIN_AND_2,GDJE_AFIN_AND_2_1
b),"Se han precisado las características de las normas jurídicas y de los órganos que las elaboran, dictan, aprueban y publican.",2,GDJE_AFIN_AND_2,GDJE_AFIN_AND_2_2
c),"Se han relacionado las leyes con el resto de normas que las desarrollan, identificando los órganos responsables de su aprobación y tramitación.",3,GDJE_AFIN_AND_2,GDJE_AFIN_AND_2_3
d),"Se ha identificado la estructura de los boletines oficiales, incluido el diario oficial de la Unión Europea, como medio de publicidad de las normas.",4,GDJE_AFIN_AND_2,GDJE_AFIN_AND_2_4
e),"Se han seleccionado distintas fuentes o bases de datos de documentación jurídica tradicionales y/o en Internet, estableciendo accesos directos a las mismas para agilizar los procesos de búsqueda y localización de información.",5,GDJE_AFIN_AND_2,GDJE_AFIN_AND_2_5
f),"Se ha detectado la aparición de nueva normativa, jurisprudencia, notificaciones, etc., consultando habitualmente las bases de datos jurídicas que puedan afectar a la entidad.",6,GDJE_AFIN_AND_2,GDJE_AFIN_AND_2_6
g),"Se ha archivado la información encontrada en los soportes o formatos establecidos, para posteriormente trasmitirla a los departamentos correspondientes de la organización.",7,GDJE_AFIN_AND_2,GDJE_AFIN_AND_2_7
a),Se han identificado las diferencias y similitudes entre las distintas formas jurídicas de empresa.,1,GDJE_AFIN_AND_3,GDJE_AFIN_AND_3_1
b),Se ha determinado el proceso de constitución de una sociedad mercantil y se ha indicado la normativa mercantil aplicable y los documentos jurídicos que se generan.,2,GDJE_AFIN_AND_3,GDJE_AFIN_AND_3_2
c),"Se han precisado las funciones de los fedatarios y los registros públicos, y la estructura y características de los documentos públicos habituales en el ámbito de los negocios.",3,GDJE_AFIN_AND_3,GDJE_AFIN_AND_3_3
d),"Se han descrito y analizado las características y los aspectos más significativos de los modelos de documentos más habituales en la vida societaria: estatutos, escrituras y actas, entre otros.",4,GDJE_AFIN_AND_3,GDJE_AFIN_AND_3_4
e),"Se han elaborado documentos societarios a partir de los datos aportados, modificando y adaptando los modelos disponibles.",5,GDJE_AFIN_AND_3,GDJE_AFIN_AND_3_5
f),"Se ha reconocido la importancia de la actuación de los fedatarios en la elevación a público de los documentos, estimando las consecuencias de no realizar los trámites oportunos.",6,GDJE_AFIN_AND_3,GDJE_AFIN_AND_3_6
g),Se han determinado las peculiaridades de la documentación mercantil acorde al objeto social de la empresa.,7,GDJE_AFIN_AND_3,GDJE_AFIN_AND_3_7
h),Se ha verificado el cumplimiento de las características y requisitos formales de los libros de la sociedad exigidos por la normativa mercantil.,8,GDJE_AFIN_AND_3,GDJE_AFIN_AND_3_8
a),Se ha descrito el concepto de contrato y la capacidad para contratar según la normativa española.,1,GDJE_AFIN_AND_4,GDJE_AFIN_AND_4_1
b),Se han identificado las distintas modalidades de contratación y sus características.,2,GDJE_AFIN_AND_4,GDJE_AFIN_AND_4_2
c),Se han identificado las normas relacionadas con los distintos tipos de contratos del ámbito empresarial.,3,GDJE_AFIN_AND_4,GDJE_AFIN_AND_4_3
d),"Se han cumplimentado los modelos normalizados, utilizando aplicaciones informáticas, de acuerdo con la información recopilada y las instrucciones recibidas.",4,GDJE_AFIN_AND_4,GDJE_AFIN_AND_4_4
e),"Se ha recopilado y cotejado la información y documentación necesaria para la cumplimentación de cada contrato, de acuerdo con las instrucciones recibidas.",5,GDJE_AFIN_AND_4,GDJE_AFIN_AND_4_5
f),"Se han verificado los datos de cada documento, comprobando el cumplimiento y exactitud de los requisitos contractuales y legales.",6,GDJE_AFIN_AND_4,GDJE_AFIN_AND_4_6
g),Se ha valorado la utilización de la firma digital y certificados de autenticidad en la elaboración de los documentos que lo permitan.,7,GDJE_AFIN_AND_4,GDJE_AFIN_AND_4_7
h),Se han aplicado las normas de seguridad y confidencialidad de la información en el uso y la custodia de los documentos.,8,GDJE_AFIN_AND_4,GDJE_AFIN_AND_4_8
