id,user_id,imagen_url,descripcion,fecha_publicacion,likes,comentarios,categoria
1,1,https://imag.bonviveur.com/pastel-de-calabaza.jpg,"Delicioso sushi casero",2024-03-15,250,30,japonesa
2,2,https://cdn.prod.website-files.com/5e86c7170f1ab21474c3f2a4/5ef1d04b4056011f67df2ed7_Natural%2Blight%2B-%2BFood%2BPhotography%2B-%2BFrenchly%2B-4365.jpg,"Pasta al pesto con albahaca fresca",2024-03-16,180,15,italiana
3,3,https://images.ctfassets.net/awb1we50v0om/2Spf80TME2zIhLqsi3Zxv9/919421a45f3260ee426c99c35235f1c8/Plates03__3__copy3.jpg,"Ensalada de quinoa y aguacate",2024-03-17,120,8,saludable
4,4,https://img.freepik.com/free-photo/fresh-pasta-with-hearty-bolognese-parmesan-cheese-generated-by-ai_188544-9469.jpg,"Tarta de chocolate y frambuesas",2024-03-18,300,45,postres
5,5,https://imag.bonviveur.com/pastel-de-calabaza.jpg,"Bowl de buddha vegano",2024-03-19,200,25,vegana
6,1,https://imag.bonviveur.com/pastel-de-calabaza.jpg,"Tacos al pastor",2024-03-20,280,35,mexicana
7,2,https://imag.bonviveur.com/pastel-de-calabaza.jpg,"Risotto de hongos silvestres",2024-03-21,150,12,italiana
8,3,https://imag.bonviveur.com/pastel-de-calabaza.jpg,"Smoothie bowl de açaí",2024-03-22,100,10,saludable
9,4,https://imag.bonviveur.com/pastel-de-calabaza.jpg,"Macarons de lavanda",2024-03-23,220,28,postres
10,5,https://imag.bonviveur.com/pastel-de-calabaza.jpg,"Curry de garbanzos",2024-03-24,180,20,vegana
